Date,Open,High,Low,Close,Volume,Adj Close
11/8/1982,41,43.13,40.63,42.5,1759200,2.78
11/5/1982,40.5,41,40,41,1720800,2.68
11/4/1982,39.63,42.25,39.5,40.5,3524800,2.65
11/3/1982,37.63,39.75,37.38,39.63,3002400,2.59
11/2/1982,37.5,38.13,37.38,37.63,1545600,2.46
11/1/1982,37.75,37.75,37.13,37.5,1495200,2.45
10/29/1982,37.5,38,37.13,37.75,1052800,2.47
10/28/1982,37.75,38,37.5,37.5,1368800,2.45
10/27/1982,37.88,38.25,37.5,37.75,1376800,2.47
10/26/1982,37.75,38.13,37.38,37.88,1233600,2.47
10/25/1982,39.38,39.5,37.75,37.75,1237600,2.47
10/22/1982,39.38,39.63,38.88,39.38,1368800,2.57
10/21/1982,39.5,39.63,38.63,39.38,1150400,2.57
10/20/1982,39.13,39.5,39,39.5,860800,2.58
10/19/1982,39.25,39.5,38.88,39.13,1783200,2.56
10/18/1982,38.88,39.75,38.88,39.25,1356000,2.54
10/15/1982,39.13,39.25,38.25,38.88,2000000,2.52
10/14/1982,39.5,40.75,39,39.13,3781600,2.53
10/13/1982,37.88,40.25,37.75,39.5,6034400,2.56
10/12/1982,37.5,38.63,37.5,37.88,4179200,2.45
10/11/1982,35,36.88,35,36.75,5067200,2.38
10/8/1982,34.13,34.75,34.13,34.75,3820800,2.25
10/7/1982,34,35,34,34.13,3307200,2.21
10/6/1982,33.5,34,33.13,33.88,2594400,2.19
10/5/1982,33.5,34,33.5,33.5,1231200,2.17
10/4/1982,34,34,33.38,33.5,1564800,2.17
10/1/1982,33.75,34.25,33.13,34.13,2016800,2.21
9/30/1982,34.5,34.5,33.5,33.75,4860000,2.18
9/29/1982,37.25,37.25,34.25,34.75,4732800,2.25
9/28/1982,39.38,39.75,39,39,718400,2.52
9/27/1982,39.5,39.75,39,39.38,567200,2.55
9/24/1982,39.75,39.75,39.25,39.5,1151200,2.56
9/23/1982,40.75,40.75,39.63,39.88,738400,2.58
9/22/1982,40.88,42,40.88,41.25,1173600,2.67
9/21/1982,40.38,41,40.38,40.63,1008000,2.63
9/20/1982,41,41,40.25,40.38,503200,2.61
9/17/1982,42,42,41.13,41.13,962400,2.66
9/16/1982,42.75,42.88,42,42.13,1145600,2.73
9/15/1982,42.25,42.75,41.88,42.75,935200,2.77
9/14/1982,42.25,42.88,42.13,42.25,1480800,2.73
9/13/1982,41.63,42.63,41.38,42.25,1199200,2.73
9/10/1982,41.88,41.88,41.25,41.63,1297600,2.69
9/9/1982,41,42.25,40.88,41.88,2492000,2.71
9/8/1982,41,41.25,40.88,41,580000,2.65
9/7/1982,41.38,41.38,40.75,41,1038400,2.65
